,Year,Nation,DEG_URB,SEX,AGE,Mean income
3276,2017,Slovenia,Cities,Males,Less than 18 years,"13,787"
3277,2017,Slovenia,Cities,Males,From 18 to 64 years,"14,517"
3278,2017,Slovenia,Cities,Males,18 years or over,"14,776"
3279,2017,Slovenia,Cities,Males,60 years or over,"15,508"
3280,2017,Slovenia,Cities,Males,65 years or over,"15,668"
3281,2017,Slovenia,Cities,Males,75 years or over,"16,692"
3282,2017,Slovenia,Cities,Females,Less than 18 years,"13,914"
3283,2017,Slovenia,Cities,Females,From 18 to 64 years,"14,363"
3284,2017,Slovenia,Cities,Females,18 years or over,"14,183"
3285,2017,Slovenia,Cities,Females,60 years or over,"13,747"
3286,2017,Slovenia,Cities,Females,65 years or over,"13,775"
3287,2017,Slovenia,Cities,Females,75 years or over,"12,531"
3288,2017,Slovenia,Towns and suburbs,Males,Less than 18 years,"13,888"
3289,2017,Slovenia,Towns and suburbs,Males,From 18 to 64 years,"14,389"
3290,2017,Slovenia,Towns and suburbs,Males,18 years or over,"14,273"
3291,2017,Slovenia,Towns and suburbs,Males,60 years or over,"13,686"
3292,2017,Slovenia,Towns and suburbs,Males,65 years or over,"13,813"
3293,2017,Slovenia,Towns and suburbs,Males,75 years or over,"13,713"
3294,2017,Slovenia,Towns and suburbs,Females,Less than 18 years,"13,591"
3295,2017,Slovenia,Towns and suburbs,Females,From 18 to 64 years,"13,822"
3296,2017,Slovenia,Towns and suburbs,Females,18 years or over,"13,424"
3297,2017,Slovenia,Towns and suburbs,Females,60 years or over,"12,300"
3298,2017,Slovenia,Towns and suburbs,Females,65 years or over,"12,179"
3299,2017,Slovenia,Towns and suburbs,Females,75 years or over,"10,928"
3300,2017,Slovenia,Rural areas,Males,Less than 18 years,"13,274"
3301,2017,Slovenia,Rural areas,Males,From 18 to 64 years,"13,569"
3302,2017,Slovenia,Rural areas,Males,18 years or over,"13,286"
3303,2017,Slovenia,Rural areas,Males,60 years or over,"12,163"
3304,2017,Slovenia,Rural areas,Males,65 years or over,"11,860"
3305,2017,Slovenia,Rural areas,Males,75 years or over,"11,275"
3306,2017,Slovenia,Rural areas,Females,Less than 18 years,"12,937"
3307,2017,Slovenia,Rural areas,Females,From 18 to 64 years,"13,482"
3308,2017,Slovenia,Rural areas,Females,18 years or over,"12,867"
3309,2017,Slovenia,Rural areas,Females,60 years or over,"11,128"
3310,2017,Slovenia,Rural areas,Females,65 years or over,"10,677"
3311,2017,Slovenia,Rural areas,Females,75 years or over,"10,113"
3312,2017,Slovakia,Cities,Males,Less than 18 years,"8,372"
3313,2017,Slovakia,Cities,Males,From 18 to 64 years,"9,378"
3314,2017,Slovakia,Cities,Males,18 years or over,"9,135"
3315,2017,Slovakia,Cities,Males,60 years or over,"8,346"
3316,2017,Slovakia,Cities,Males,65 years or over,"7,979"
3317,2017,Slovakia,Cities,Males,75 years or over,"7,130"
3318,2017,Slovakia,Cities,Females,Less than 18 years,"8,293"
3319,2017,Slovakia,Cities,Females,From 18 to 64 years,"9,187"
3320,2017,Slovakia,Cities,Females,18 years or over,"8,668"
3321,2017,Slovakia,Cities,Females,60 years or over,"7,527"
3322,2017,Slovakia,Cities,Females,65 years or over,"7,095"
3323,2017,Slovakia,Cities,Females,75 years or over,"6,436"
3324,2017,Slovakia,Towns and suburbs,Males,Less than 18 years,"6,497"
3325,2017,Slovakia,Towns and suburbs,Males,From 18 to 64 years,"7,726"
3326,2017,Slovakia,Towns and suburbs,Males,18 years or over,"7,659"
3327,2017,Slovakia,Towns and suburbs,Males,60 years or over,"7,540"
3328,2017,Slovakia,Towns and suburbs,Males,65 years or over,"7,230"
3329,2017,Slovakia,Towns and suburbs,Males,75 years or over,"6,572"
3330,2017,Slovakia,Towns and suburbs,Females,Less than 18 years,"6,210"
3331,2017,Slovakia,Towns and suburbs,Females,From 18 to 64 years,"7,629"
3332,2017,Slovakia,Towns and suburbs,Females,18 years or over,"7,431"
3333,2017,Slovakia,Towns and suburbs,Females,60 years or over,"6,827"
3334,2017,Slovakia,Towns and suburbs,Females,65 years or over,"6,641"
3335,2017,Slovakia,Towns and suburbs,Females,75 years or over,"6,382"
3336,2017,Slovakia,Rural areas,Males,Less than 18 years,"5,880"
3337,2017,Slovakia,Rural areas,Males,From 18 to 64 years,"7,279"
3338,2017,Slovakia,Rural areas,Males,18 years or over,"7,217"
3339,2017,Slovakia,Rural areas,Males,60 years or over,"7,063"
3340,2017,Slovakia,Rural areas,Males,65 years or over,"6,850"
3341,2017,Slovakia,Rural areas,Males,75 years or over,"6,425"
3342,2017,Slovakia,Rural areas,Females,Less than 18 years,"6,175"
3343,2017,Slovakia,Rural areas,Females,From 18 to 64 years,"7,239"
3344,2017,Slovakia,Rural areas,Females,18 years or over,"7,130"
3345,2017,Slovakia,Rural areas,Females,60 years or over,"6,883"
3346,2017,Slovakia,Rural areas,Females,65 years or over,"6,712"
3347,2017,Slovakia,Rural areas,Females,75 years or over,"6,405"
3348,2017,Finland,Cities,Males,Less than 18 years,"27,351"
3349,2017,Finland,Cities,Males,From 18 to 64 years,"29,526"
3350,2017,Finland,Cities,Males,18 years or over,"29,708"
3351,2017,Finland,Cities,Males,60 years or over,"31,454"
3352,2017,Finland,Cities,Males,65 years or over,"30,522"
3353,2017,Finland,Cities,Males,75 years or over,"25,864"
3354,2017,Finland,Cities,Females,Less than 18 years,"28,916"
3355,2017,Finland,Cities,Females,From 18 to 64 years,"29,394"
3356,2017,Finland,Cities,Females,18 years or over,"28,506"
3357,2017,Finland,Cities,Females,60 years or over,"27,385"
3358,2017,Finland,Cities,Females,65 years or over,"25,598"
3359,2017,Finland,Cities,Females,75 years or over,"22,302"
3360,2017,Finland,Towns and suburbs,Males,Less than 18 years,"24,629"
3361,2017,Finland,Towns and suburbs,Males,From 18 to 64 years,"27,056"
3362,2017,Finland,Towns and suburbs,Males,18 years or over,"26,526"
3363,2017,Finland,Towns and suburbs,Males,60 years or over,"25,981"
3364,2017,Finland,Towns and suburbs,Males,65 years or over,"24,846"
3365,2017,Finland,Towns and suburbs,Males,75 years or over,"22,207"
3366,2017,Finland,Towns and suburbs,Females,Less than 18 years,"24,619"
3367,2017,Finland,Towns and suburbs,Females,From 18 to 64 years,"27,139"
3368,2017,Finland,Towns and suburbs,Females,18 years or over,"25,461"
3369,2017,Finland,Towns and suburbs,Females,60 years or over,"23,005"
3370,2017,Finland,Towns and suburbs,Females,65 years or over,"21,479"
3371,2017,Finland,Towns and suburbs,Females,75 years or over,"18,450"
3372,2017,Finland,Rural areas,Males,Less than 18 years,"23,530"
3373,2017,Finland,Rural areas,Males,From 18 to 64 years,"26,959"
3374,2017,Finland,Rural areas,Males,18 years or over,"25,649"
3375,2017,Finland,Rural areas,Males,60 years or over,"23,952"
3376,2017,Finland,Rural areas,Males,65 years or over,"22,399"
3377,2017,Finland,Rural areas,Males,75 years or over,"20,156"
3378,2017,Finland,Rural areas,Females,Less than 18 years,"23,389"
3379,2017,Finland,Rural areas,Females,From 18 to 64 years,"27,625"
3380,2017,Finland,Rural areas,Females,18 years or over,"25,044"
3381,2017,Finland,Rural areas,Females,60 years or over,"21,878"
3382,2017,Finland,Rural areas,Females,65 years or over,"20,125"
3383,2017,Finland,Rural areas,Females,75 years or over,"17,902"
3384,2017,Sweden,Cities,Males,Less than 18 years,"26,846"
3385,2017,Sweden,Cities,Males,From 18 to 64 years,"30,278"
3386,2017,Sweden,Cities,Males,18 years or over,"31,210"
3387,2017,Sweden,Cities,Males,60 years or over,"36,519"
3388,2017,Sweden,Cities,Males,65 years or over,"35,474"
3389,2017,Sweden,Cities,Males,75 years or over,"25,598"
3390,2017,Sweden,Cities,Females,Less than 18 years,"32,215"
3391,2017,Sweden,Cities,Females,From 18 to 64 years,"31,646"
3392,2017,Sweden,Cities,Females,18 years or over,"30,592"
3393,2017,Sweden,Cities,Females,60 years or over,"28,763"
3394,2017,Sweden,Cities,Females,65 years or over,"26,824"
3395,2017,Sweden,Cities,Females,75 years or over,"19,920"
3396,2017,Sweden,Towns and suburbs,Males,Less than 18 years,"24,700"
3397,2017,Sweden,Towns and suburbs,Males,From 18 to 64 years,"28,484"
3398,2017,Sweden,Towns and suburbs,Males,18 years or over,"27,837"
3399,2017,Sweden,Towns and suburbs,Males,60 years or over,"27,588"
3400,2017,Sweden,Towns and suburbs,Males,65 years or over,"25,978"
3401,2017,Sweden,Towns and suburbs,Males,75 years or over,"21,518"
3402,2017,Sweden,Towns and suburbs,Females,Less than 18 years,"24,992"
3403,2017,Sweden,Towns and suburbs,Females,From 18 to 64 years,"28,636"
3404,2017,Sweden,Towns and suburbs,Females,18 years or over,"26,762"
3405,2017,Sweden,Towns and suburbs,Females,60 years or over,"24,286"
3406,2017,Sweden,Towns and suburbs,Females,65 years or over,"22,322"
3407,2017,Sweden,Towns and suburbs,Females,75 years or over,"18,855"
3408,2017,Sweden,Rural areas,Males,Less than 18 years,"22,063"
3409,2017,Sweden,Rural areas,Males,From 18 to 64 years,"26,951"
3410,2017,Sweden,Rural areas,Males,18 years or over,"26,040"
3411,2017,Sweden,Rural areas,Males,60 years or over,"26,064"
3412,2017,Sweden,Rural areas,Males,65 years or over,"23,816"
3413,2017,Sweden,Rural areas,Males,75 years or over,"18,874"
3414,2017,Sweden,Rural areas,Females,Less than 18 years,"22,764"
3415,2017,Sweden,Rural areas,Females,From 18 to 64 years,"26,862"
3416,2017,Sweden,Rural areas,Females,18 years or over,"24,825"
3417,2017,Sweden,Rural areas,Females,60 years or over,"23,489"
3418,2017,Sweden,Rural areas,Females,65 years or over,"20,480"
3419,2017,Sweden,Rural areas,Females,75 years or over,"16,897"
3420,2017,Iceland,Cities,Males,Less than 18 years,"34,625"
3421,2017,Iceland,Cities,Males,From 18 to 64 years,"40,020"
3422,2017,Iceland,Cities,Males,18 years or over,"40,325"
3423,2017,Iceland,Cities,Males,60 years or over,"43,450"
3424,2017,Iceland,Cities,Males,65 years or over,"41,834"
3425,2017,Iceland,Cities,Males,75 years or over,"32,410"
3426,2017,Iceland,Cities,Females,Less than 18 years,"35,289"
3427,2017,Iceland,Cities,Females,From 18 to 64 years,"39,327"
3428,2017,Iceland,Cities,Females,18 years or over,"39,024"
3429,2017,Iceland,Cities,Females,60 years or over,"39,449"
3430,2017,Iceland,Cities,Females,65 years or over,"37,705"
3431,2017,Iceland,Cities,Females,75 years or over,"33,608"
3432,2017,Iceland,Towns and suburbs,Males,Less than 18 years,"30,300"
3433,2017,Iceland,Towns and suburbs,Males,From 18 to 64 years,"35,710"
3434,2017,Iceland,Towns and suburbs,Males,18 years or over,"35,657"
3435,2017,Iceland,Towns and suburbs,Males,60 years or over,"36,183"
3436,2017,Iceland,Towns and suburbs,Males,65 years or over,"35,369"
3437,2017,Iceland,Towns and suburbs,Males,75 years or over,"25,404"
3438,2017,Iceland,Towns and suburbs,Females,Less than 18 years,"32,045"
3439,2017,Iceland,Towns and suburbs,Females,From 18 to 64 years,"34,849"
3440,2017,Iceland,Towns and suburbs,Females,18 years or over,"35,243"
3441,2017,Iceland,Towns and suburbs,Females,60 years or over,"38,376"
3442,2017,Iceland,Towns and suburbs,Females,65 years or over,"37,524"
3443,2017,Iceland,Towns and suburbs,Females,75 years or over,"27,561"
3444,2017,Iceland,Rural areas,Males,Less than 18 years,"33,397"
3445,2017,Iceland,Rural areas,Males,From 18 to 64 years,"38,127"
3446,2017,Iceland,Rural areas,Males,18 years or over,"37,731"
3447,2017,Iceland,Rural areas,Males,60 years or over,"37,818"
3448,2017,Iceland,Rural areas,Males,65 years or over,"36,428"
3449,2017,Iceland,Rural areas,Males,75 years or over,"25,952"
3450,2017,Iceland,Rural areas,Females,Less than 18 years,"33,504"
3451,2017,Iceland,Rural areas,Females,From 18 to 64 years,"37,764"
3452,2017,Iceland,Rural areas,Females,18 years or over,"37,068"
3453,2017,Iceland,Rural areas,Females,60 years or over,"36,946"
3454,2017,Iceland,Rural areas,Females,65 years or over,"34,599"
3455,2017,Iceland,Rural areas,Females,75 years or over,"26,124"
3456,2017,Norway,Cities,Males,Less than 18 years,"40,270"
3457,2017,Norway,Cities,Males,From 18 to 64 years,"45,147"
3458,2017,Norway,Cities,Males,18 years or over,"45,678"
3459,2017,Norway,Cities,Males,60 years or over,"53,366"
3460,2017,Norway,Cities,Males,65 years or over,"48,209"
3461,2017,Norway,Cities,Males,75 years or over,"39,598"
3462,2017,Norway,Cities,Females,Less than 18 years,"40,505"
3463,2017,Norway,Cities,Females,From 18 to 64 years,"42,566"
3464,2017,Norway,Cities,Females,18 years or over,"42,008"
3465,2017,Norway,Cities,Females,60 years or over,"42,462"
3466,2017,Norway,Cities,Females,65 years or over,"39,775"
3467,2017,Norway,Cities,Females,75 years or over,"32,312"
3468,2017,Norway,Towns and suburbs,Males,Less than 18 years,"38,198"
3469,2017,Norway,Towns and suburbs,Males,From 18 to 64 years,"45,682"
3470,2017,Norway,Towns and suburbs,Males,18 years or over,"45,264"
3471,2017,Norway,Towns and suburbs,Males,60 years or over,"49,042"
3472,2017,Norway,Towns and suburbs,Males,65 years or over,"43,749"
3473,2017,Norway,Towns and suburbs,Males,75 years or over,"36,834"
3474,2017,Norway,Towns and suburbs,Females,Less than 18 years,"39,538"
3475,2017,Norway,Towns and suburbs,Females,From 18 to 64 years,"44,280"
3476,2017,Norway,Towns and suburbs,Females,18 years or over,"42,513"
3477,2017,Norway,Towns and suburbs,Females,60 years or over,"42,539"
3478,2017,Norway,Towns and suburbs,Females,65 years or over,"37,848"
3479,2017,Norway,Towns and suburbs,Females,75 years or over,"31,652"
3480,2017,Norway,Rural areas,Males,Less than 18 years,"34,733"
3481,2017,Norway,Rural areas,Males,From 18 to 64 years,"42,762"
3482,2017,Norway,Rural areas,Males,18 years or over,"43,001"
3483,2017,Norway,Rural areas,Males,60 years or over,"46,963"
3484,2017,Norway,Rural areas,Males,65 years or over,"43,755"
3485,2017,Norway,Rural areas,Males,75 years or over,"34,398"
3486,2017,Norway,Rural areas,Females,Less than 18 years,"35,515"
3487,2017,Norway,Rural areas,Females,From 18 to 64 years,"41,398"
3488,2017,Norway,Rural areas,Females,18 years or over,"39,566"
3489,2017,Norway,Rural areas,Females,60 years or over,"38,869"
3490,2017,Norway,Rural areas,Females,65 years or over,"34,601"
3491,2017,Norway,Rural areas,Females,75 years or over,"26,624"
3492,2017,Switzerland,Cities,Males,Less than 18 years,"46,974"
3493,2017,Switzerland,Cities,Males,From 18 to 64 years,"55,038"
3494,2017,Switzerland,Cities,Males,18 years or over,"53,614"
3495,2017,Switzerland,Cities,Males,60 years or over,"52,857"
3496,2017,Switzerland,Cities,Males,65 years or over,"47,003"
3497,2017,Switzerland,Cities,Males,75 years or over,"43,244"
3498,2017,Switzerland,Cities,Females,Less than 18 years,"49,215"
3499,2017,Switzerland,Cities,Females,From 18 to 64 years,"52,181"
3500,2017,Switzerland,Cities,Females,18 years or over,"49,864"
3501,2017,Switzerland,Cities,Females,60 years or over,"45,611"
3502,2017,Switzerland,Cities,Females,65 years or over,"41,738"
3503,2017,Switzerland,Cities,Females,75 years or over,"38,538"
3504,2017,Switzerland,Towns and suburbs,Males,Less than 18 years,"48,806"
3505,2017,Switzerland,Towns and suburbs,Males,From 18 to 64 years,"57,080"
3506,2017,Switzerland,Towns and suburbs,Males,18 years or over,"55,080"
3507,2017,Switzerland,Towns and suburbs,Males,60 years or over,"51,510"
3508,2017,Switzerland,Towns and suburbs,Males,65 years or over,"47,687"
3509,2017,Switzerland,Towns and suburbs,Males,75 years or over,"42,325"
3510,2017,Switzerland,Towns and suburbs,Females,Less than 18 years,"44,822"
3511,2017,Switzerland,Towns and suburbs,Females,From 18 to 64 years,"52,648"
3512,2017,Switzerland,Towns and suburbs,Females,18 years or over,"50,042"
3513,2017,Switzerland,Towns and suburbs,Females,60 years or over,"44,700"
3514,2017,Switzerland,Towns and suburbs,Females,65 years or over,"41,128"
3515,2017,Switzerland,Towns and suburbs,Females,75 years or over,"36,877"
3516,2017,Switzerland,Rural areas,Males,Less than 18 years,"39,307"
3517,2017,Switzerland,Rural areas,Males,From 18 to 64 years,"51,799"
3518,2017,Switzerland,Rural areas,Males,18 years or over,"49,757"
3519,2017,Switzerland,Rural areas,Males,60 years or over,"49,011"
3520,2017,Switzerland,Rural areas,Males,65 years or over,"41,365"
3521,2017,Switzerland,Rural areas,Males,75 years or over,"36,264"
3522,2017,Switzerland,Rural areas,Females,Less than 18 years,"41,451"
3523,2017,Switzerland,Rural areas,Females,From 18 to 64 years,"49,527"
3524,2017,Switzerland,Rural areas,Females,18 years or over,"46,387"
3525,2017,Switzerland,Rural areas,Females,60 years or over,"39,793"
3526,2017,Switzerland,Rural areas,Females,65 years or over,"35,806"
3527,2017,Switzerland,Rural areas,Females,75 years or over,"32,041"
3528,2017,United Kingdom,Cities,Males,Less than 18 years,"22,333"
3529,2017,United Kingdom,Cities,Males,From 18 to 64 years,"27,564"
3530,2017,United Kingdom,Cities,Males,18 years or over,"26,727"
3531,2017,United Kingdom,Cities,Males,60 years or over,"23,411"
3532,2017,United Kingdom,Cities,Males,65 years or over,"23,212"
3533,2017,United Kingdom,Cities,Males,75 years or over,"21,351"
3534,2017,United Kingdom,Cities,Females,Less than 18 years,"22,157"
3535,2017,United Kingdom,Cities,Females,From 18 to 64 years,"25,972"
3536,2017,United Kingdom,Cities,Females,18 years or over,"25,077"
3537,2017,United Kingdom,Cities,Females,60 years or over,"22,599"
3538,2017,United Kingdom,Cities,Females,65 years or over,"21,866"
3539,2017,United Kingdom,Cities,Females,75 years or over,"18,290"
3540,2017,United Kingdom,Towns and suburbs,Males,Less than 18 years,"21,671"
3541,2017,United Kingdom,Towns and suburbs,Males,From 18 to 64 years,"26,845"
3542,2017,United Kingdom,Towns and suburbs,Males,18 years or over,"26,087"
3543,2017,United Kingdom,Towns and suburbs,Males,60 years or over,"24,688"
3544,2017,United Kingdom,Towns and suburbs,Males,65 years or over,"23,691"
3545,2017,United Kingdom,Towns and suburbs,Males,75 years or over,"20,592"
3546,2017,United Kingdom,Towns and suburbs,Females,Less than 18 years,"21,844"
3547,2017,United Kingdom,Towns and suburbs,Females,From 18 to 64 years,"25,586"
3548,2017,United Kingdom,Towns and suburbs,Females,18 years or over,"24,610"
3549,2017,United Kingdom,Towns and suburbs,Females,60 years or over,"22,885"
3550,2017,United Kingdom,Towns and suburbs,Females,65 years or over,"21,947"
3551,2017,United Kingdom,Towns and suburbs,Females,75 years or over,"19,189"
3552,2017,United Kingdom,Rural areas,Males,Less than 18 years,"29,212"
3553,2017,United Kingdom,Rural areas,Males,From 18 to 64 years,"29,193"
3554,2017,United Kingdom,Rural areas,Males,18 years or over,"27,684"
3555,2017,United Kingdom,Rural areas,Males,60 years or over,"25,704"
3556,2017,United Kingdom,Rural areas,Males,65 years or over,"23,919"
3557,2017,United Kingdom,Rural areas,Males,75 years or over,"22,677"
3558,2017,United Kingdom,Rural areas,Females,Less than 18 years,"25,592"
3559,2017,United Kingdom,Rural areas,Females,From 18 to 64 years,"28,656"
3560,2017,United Kingdom,Rural areas,Females,18 years or over,"27,026"
3561,2017,United Kingdom,Rural areas,Females,60 years or over,"24,232"
3562,2017,United Kingdom,Rural areas,Females,65 years or over,"23,200"
3563,2017,United Kingdom,Rural areas,Females,75 years or over,"21,725"
3564,2017,North Macedonia,Cities,Males,Less than 18 years,"2,382"
3565,2017,North Macedonia,Cities,Males,From 18 to 64 years,"2,863"
3566,2017,North Macedonia,Cities,Males,18 years or over,"2,941"
3567,2017,North Macedonia,Cities,Males,60 years or over,"3,379"
3568,2017,North Macedonia,Cities,Males,65 years or over,"3,322"
3569,2017,North Macedonia,Cities,Males,75 years or over,"3,238"
3570,2017,North Macedonia,Cities,Females,Less than 18 years,"2,549"
3571,2017,North Macedonia,Cities,Females,From 18 to 64 years,"2,928"
3572,2017,North Macedonia,Cities,Females,18 years or over,"2,918"
3573,2017,North Macedonia,Cities,Females,60 years or over,"3,064"
3574,2017,North Macedonia,Cities,Females,65 years or over,"2,878"
3575,2017,North Macedonia,Cities,Females,75 years or over,"2,762"
3576,2017,North Macedonia,Towns and suburbs,Males,Less than 18 years,"2,317"
3577,2017,North Macedonia,Towns and suburbs,Males,From 18 to 64 years,"2,788"
3578,2017,North Macedonia,Towns and suburbs,Males,18 years or over,"2,815"
3579,2017,North Macedonia,Towns and suburbs,Males,60 years or over,"3,002"
3580,2017,North Macedonia,Towns and suburbs,Males,65 years or over,"2,982"
3581,2017,North Macedonia,Towns and suburbs,Males,75 years or over,"3,019"
3582,2017,North Macedonia,Towns and suburbs,Females,Less than 18 years,"2,331"
3583,2017,North Macedonia,Towns and suburbs,Females,From 18 to 64 years,"2,759"
3584,2017,North Macedonia,Towns and suburbs,Females,18 years or over,"2,774"
3585,2017,North Macedonia,Towns and suburbs,Females,60 years or over,"2,868"
3586,2017,North Macedonia,Towns and suburbs,Females,65 years or over,"2,840"
3587,2017,North Macedonia,Towns and suburbs,Females,75 years or over,"2,832"
3588,2017,North Macedonia,Rural areas,Males,Less than 18 years,"2,133"
3589,2017,North Macedonia,Rural areas,Males,From 18 to 64 years,"2,662"
3590,2017,North Macedonia,Rural areas,Males,18 years or over,"2,667"
3591,2017,North Macedonia,Rural areas,Males,60 years or over,"2,717"
3592,2017,North Macedonia,Rural areas,Males,65 years or over,"2,699"
3593,2017,North Macedonia,Rural areas,Males,75 years or over,"2,746"
3594,2017,North Macedonia,Rural areas,Females,Less than 18 years,"2,064"
3595,2017,North Macedonia,Rural areas,Females,From 18 to 64 years,"2,586"
3596,2017,North Macedonia,Rural areas,Females,18 years or over,"2,576"
3597,2017,North Macedonia,Rural areas,Females,60 years or over,"2,579"
3598,2017,North Macedonia,Rural areas,Females,65 years or over,"2,532"
3599,2017,North Macedonia,Rural areas,Females,75 years or over,"2,353"
3600,2017,Albania,Cities,Males,Less than 18 years,"2,458"
3601,2017,Albania,Cities,Males,From 18 to 64 years,"2,751"
3602,2017,Albania,Cities,Males,18 years or over,"2,706"
3603,2017,Albania,Cities,Males,60 years or over,"2,672"
3604,2017,Albania,Cities,Males,65 years or over,"2,489"
3605,2017,Albania,Cities,Males,75 years or over,"2,468"
3606,2017,Albania,Cities,Females,Less than 18 years,"2,342"
3607,2017,Albania,Cities,Females,From 18 to 64 years,"2,776"
3608,2017,Albania,Cities,Females,18 years or over,"2,715"
3609,2017,Albania,Cities,Females,60 years or over,"2,502"
3610,2017,Albania,Cities,Females,65 years or over,"2,431"
3611,2017,Albania,Cities,Females,75 years or over,"2,363"
3612,2017,Albania,Towns and suburbs,Males,Less than 18 years,"2,009"
3613,2017,Albania,Towns and suburbs,Males,From 18 to 64 years,"2,365"
3614,2017,Albania,Towns and suburbs,Males,18 years or over,"2,338"
3615,2017,Albania,Towns and suburbs,Males,60 years or over,"2,324"
3616,2017,Albania,Towns and suburbs,Males,65 years or over,"2,193"
3617,2017,Albania,Towns and suburbs,Males,75 years or over,"2,194"
3618,2017,Albania,Towns and suburbs,Females,Less than 18 years,"1,943"
3619,2017,Albania,Towns and suburbs,Females,From 18 to 64 years,"2,326"
3620,2017,Albania,Towns and suburbs,Females,18 years or over,"2,287"
3621,2017,Albania,Towns and suburbs,Females,60 years or over,"2,145"
3622,2017,Albania,Towns and suburbs,Females,65 years or over,"2,111"
3623,2017,Albania,Towns and suburbs,Females,75 years or over,"2,158"
3624,2017,Albania,Rural areas,Males,Less than 18 years,"1,503"
3625,2017,Albania,Rural areas,Males,From 18 to 64 years,"1,721"
3626,2017,Albania,Rural areas,Males,18 years or over,"1,741"
3627,2017,Albania,Rural areas,Males,60 years or over,"1,848"
3628,2017,Albania,Rural areas,Males,65 years or over,"1,839"
3629,2017,Albania,Rural areas,Males,75 years or over,"1,613"
3630,2017,Albania,Rural areas,Females,Less than 18 years,"1,392"
3631,2017,Albania,Rural areas,Females,From 18 to 64 years,"1,668"
3632,2017,Albania,Rural areas,Females,18 years or over,"1,667"
3633,2017,Albania,Rural areas,Females,60 years or over,"1,747"
3634,2017,Albania,Rural areas,Females,65 years or over,"1,661"
3635,2017,Albania,Rural areas,Females,75 years or over,"1,580"
3636,2017,Serbia,Cities,Males,Less than 18 years,"3,033"
3637,2017,Serbia,Cities,Males,From 18 to 64 years,"3,572"
3638,2017,Serbia,Cities,Males,18 years or over,"3,578"
3639,2017,Serbia,Cities,Males,60 years or over,"3,648"
3640,2017,Serbia,Cities,Males,65 years or over,"3,602"
3641,2017,Serbia,Cities,Males,75 years or over,"3,592"
3642,2017,Serbia,Cities,Females,Less than 18 years,"3,236"
3643,2017,Serbia,Cities,Females,From 18 to 64 years,"3,537"
3644,2017,Serbia,Cities,Females,18 years or over,"3,473"
3645,2017,Serbia,Cities,Females,60 years or over,"3,405"
3646,2017,Serbia,Cities,Females,65 years or over,"3,289"
3647,2017,Serbia,Cities,Females,75 years or over,"3,107"
3648,2017,Serbia,Towns and suburbs,Males,Less than 18 years,"2,827"
3649,2017,Serbia,Towns and suburbs,Males,From 18 to 64 years,"2,985"
3650,2017,Serbia,Towns and suburbs,Males,18 years or over,"3,036"
3651,2017,Serbia,Towns and suburbs,Males,60 years or over,"3,266"
3652,2017,Serbia,Towns and suburbs,Males,65 years or over,"3,279"
3653,2017,Serbia,Towns and suburbs,Males,75 years or over,"2,955"
3654,2017,Serbia,Towns and suburbs,Females,Less than 18 years,"2,688"
3655,2017,Serbia,Towns and suburbs,Females,From 18 to 64 years,"2,976"
3656,2017,Serbia,Towns and suburbs,Females,18 years or over,"2,972"
3657,2017,Serbia,Towns and suburbs,Females,60 years or over,"2,998"
3658,2017,Serbia,Towns and suburbs,Females,65 years or over,"2,957"
3659,2017,Serbia,Towns and suburbs,Females,75 years or over,"2,870"
3660,2017,Serbia,Rural areas,Males,Less than 18 years,"2,232"
3661,2017,Serbia,Rural areas,Males,From 18 to 64 years,"2,426"
3662,2017,Serbia,Rural areas,Males,18 years or over,"2,501"
3663,2017,Serbia,Rural areas,Males,60 years or over,"2,611"
3664,2017,Serbia,Rural areas,Males,65 years or over,"2,757"
3665,2017,Serbia,Rural areas,Males,75 years or over,"2,433"
3666,2017,Serbia,Rural areas,Females,Less than 18 years,"2,108"
3667,2017,Serbia,Rural areas,Females,From 18 to 64 years,"2,437"
3668,2017,Serbia,Rural areas,Females,18 years or over,"2,391"
3669,2017,Serbia,Rural areas,Females,60 years or over,"2,345"
3670,2017,Serbia,Rural areas,Females,65 years or over,"2,277"
3671,2017,Serbia,Rural areas,Females,75 years or over,"2,064"
3672,2018,Belgium,Cities,Males,Less than 18 years,"20,907"
3673,2018,Belgium,Cities,Males,From 18 to 64 years,"25,631"
3674,2018,Belgium,Cities,Males,18 years or over,"25,029"
3675,2018,Belgium,Cities,Males,60 years or over,"23,360"
3676,2018,Belgium,Cities,Males,65 years or over,"22,129"
3677,2018,Belgium,Cities,Males,75 years or over,"20,980"
3678,2018,Belgium,Cities,Females,Less than 18 years,"22,124"
3679,2018,Belgium,Cities,Females,From 18 to 64 years,"23,733"
3680,2018,Belgium,Cities,Females,18 years or over,"23,072"
3681,2018,Belgium,Cities,Females,60 years or over,"21,462"
3682,2018,Belgium,Cities,Females,65 years or over,"20,887"
3683,2018,Belgium,Cities,Females,75 years or over,"20,550"
3684,2018,Belgium,Towns and suburbs,Males,Less than 18 years,"25,519"
3685,2018,Belgium,Towns and suburbs,Males,From 18 to 64 years,"28,685"
3686,2018,Belgium,Towns and suburbs,Males,18 years or over,"27,185"
3687,2018,Belgium,Towns and suburbs,Males,60 years or over,"23,505"
3688,2018,Belgium,Towns and suburbs,Males,65 years or over,"22,149"
3689,2018,Belgium,Towns and suburbs,Males,75 years or over,"20,647"
3690,2018,Belgium,Towns and suburbs,Females,Less than 18 years,"25,445"
